"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"4b71aa51dbae7c41e021fc6b7b767db71daeb3ba","   2842","Skeletonema","genus","1.0000","","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema",""
"4eb8cae8dcb0a2c789f468498e65ec61fb80cf30","  67475","Haslea","genus","1.0000","","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Haslea",""
"90f632fcd83300f25e86ffdd863ff3426cdbe92f","1056814","Amphitrite cirrata","species",NA,"Metazoa","Annelida","Polychaeta","Terebellida","","Amphitrite","Amphitrite cirrata"
"67192877eedca08295d2a1f54cac447b8593e701","   6833","Calanoida","order","0.9997","Metazoa","Arthropoda","Hexanauplia","Calanoida","","",""
"a7ce885d9d5dbf80cc93cbbd8d739e5e8491195c"," 576748","Sarsia princeps","species",NA,"Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Corynidae","Sarsia","Sarsia princeps"
"314d8dd481c2c4e4fc3a4aee029b2ea1190aa929","   2842","Skeletonema","genus","1.0000","","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema",""
"1bfa60d6d24d79d6d0a52af32c8f6e97492a1f0d","   7728","Halocynthia","genus","1.0000","Metazoa","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Halocynthia",""
"aa8137265686dba88840599e161fde12efaf939c"," 136189","Oithonidae","family","1.0000","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","",""
"9fbf930696dea94dd1397180e3c62f66efddb826","  46590","Cirratulidae","family","1.0000","Metazoa","Annelida","Polychaeta","Spionida","Cirratulidae","",""
"ba8a4991948216d302b41a27177b497d72211fbd","  66220","Chordariaceae","family","1.0000","","","Phaeophyceae","Ectocarpales","Chordariaceae","",""
"ae661759d1018cb802d3e47ecc9a1b603c4a6a12"," 136189","Oithonidae","family","1.0000","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","",""
"5dfb548e95d981871f1d1d7f2cc5fcc95f20f6d7","   2842","Skeletonema","genus","1.0000","","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema",""
"5217ce1f3f817e487d62e74bd986c9a72e1bb390"," 221995","Chaetozone setosa","species",NA,"Metazoa","Annelida","Polychaeta","Spionida","Cirratulidae","Chaetozone","Chaetozone setosa"
"44f8044fff7db9664efd29d8676b86e69956f35e"," 116167","Sessilia","order","1.0000","Metazoa","Arthropoda","Hexanauplia","Sessilia","","",""
"b2abc60c1e2f69599b8ca2ba6359b6d4d54caaa0","1240994","Polyostea arctica","species",NA,"","","Florideophyceae","Ceramiales","Rhodomelaceae","Polyostea","Polyostea arctica"
"38110eed840db49701b4607d1c31c0db233ccabd","  35052","Ophiopholis aculeata","species",NA,"Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Ophiactidae","Ophiopholis","Ophiopholis aculeata"
"47424bf5ed376c34daafe7ca60fcc28550f13cac","  46590","Cirratulidae","family","1.0000","Metazoa","Annelida","Polychaeta","Spionida","Cirratulidae","",""
"f6c571e2f181327102093f2286dfd93ce2a470fb","1779162","Suberitida","order","1.0000","Metazoa","Porifera","Demospongiae","Suberitida","","",""
"151cf244c63f943b671b4814db637a614e02f889","  66220","Chordariaceae","family","1.0000","","","Phaeophyceae","Ectocarpales","Chordariaceae","",""
"4d8c066af36e810269ef7e39f14e094c7b32a7f1"," 116674","Caprellidira","parvorder","1.0000","Metazoa","Arthropoda","Malacostraca","Amphipoda","","",""
"7941f45ea6108d70ae44961b2fd562378762dba1","1273218","Lacuna vincta","species",NA,"Metazoa","Mollusca","Gastropoda","Littorinimorpha","Lacunidae","Lacuna","Lacuna vincta"
"af55f83e8bc1dae6fd7e3d9c3ce94c1930c87b98"," 465777","Pseudochattonella farcimen","species",NA,"","","Dictyochophyceae","Florenciellales","","Pseudochattonella","Pseudochattonella farcimen"
"db8a7f0280f87343171aeabd0eb945b8d14ba4da","  84394","Ploima","order","0.9675","Metazoa","Rotifera","Monogononta","Ploima","","",""
"ab8b480501e49b113520fe65255f82f10bed602f","   6833","Calanoida","order","0.9997","Metazoa","Arthropoda","Hexanauplia","Calanoida","","",""
"c5d91260d7c4fa571e2ccf050a99006c880bd2dc","   6366","Sabellidae","family","1.0000","Metazoa","Annelida","Polychaeta","Sabellida","Sabellidae","",""
"ed5f85fbb452560ea5faebb59d8ab86cd9871777","  46599","Spionidae","family","1.0000","Metazoa","Annelida","Polychaeta","Spionida","Spionidae","",""
"0c6d3bfd7abd9e957aa0a00c3dcdf11254b83f49","   2953","Gymnodiniales","order","1.0000","","","Dinophyceae","Gymnodiniales","","",""
"cad016b545325d672c83e968bc77118000183013"," 136189","Oithonidae","family","1.0000","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","",""
"c5480077534c5828e3dcbbcd684d50f3801d9b26","   7664","Strongylocentrotus","genus",NA,"Metazoa","Echinodermata","Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus",""
"04acf4834e637213970b97d8a6099d33d7d0acff","   3026","Chordaria flagelliformis","species",NA,"","","Phaeophyceae","Ectocarpales","Chordariaceae","Chordaria","Chordaria flagelliformis"
"7bfc233570b8b9685eef71f35116ad798364eec0","   7671","Strongylocentrotus droebachiensis","species",NA,"Metazoa","Echinodermata","Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis"
"b31432b7d63b5fa12be7ee7e555f9bb2e79b0d58","   2953","Gymnodiniales","order","1.0000","","","Dinophyceae","Gymnodiniales","","",""
"d91e4f5a7edc004a4ac60506d91bf2a3ed5b17f1","  41880","Pycnococcus provasolii","species",NA,"Viridiplantae","Chlorophyta","","","Pycnococcaceae","Pycnococcus","Pycnococcus provasolii"
"85d23ef533c88ff87c33f26ba2cbbabda4ab8b61"," 288872","Paratanytarsus austriacus","species",NA,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Paratanytarsus","Paratanytarsus austriacus"
"608db5dc9a5fea0751e46e43f889773019d8ddb2"," 116674","Caprellidira","parvorder","1.0000","Metazoa","Arthropoda","Malacostraca","Amphipoda","","",""
"7137545089aa423d05e476dcb48dde59da83ccec"," 116167","Sessilia","order","1.0000","Metazoa","Arthropoda","Hexanauplia","Sessilia","","",""
"b11aa6e1d75b9c94b35ee20258dde454b094f6f2"," 133711","Ophiurina","suborder","0.8338","Metazoa","Echinodermata","Ophiuroidea","Ophiurida","","",""
